f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,class
2115.0,1069.2,128.41,1988.6,343.73,427.91,865.1,0.18553,0.15852,0.12597,0.12148,0.084056,0.093355,0.12986,0.055887,0.058034,0.10692,0.27554,0.056232,0.034841,0.047755,0.23339,0.031392,0.042824,0.024858,0.030979,0.036166,0.0547,0.091818,0.47115,0.26541,0.10783,0.046268,3
986.51,1981.9,3008.7,4007.6,127.92,3876.3,1577.4,0.0273,0.025796,0.030017,0.89027,0.041589,0.88623,0.028067,0.024237,0.2035,1.1097,0.079281,0.016724,0.12623,0.23686,0.046852,0.044118,0.013545,0.018701,0.033819,0.20496,0.88651,1.1423,0.45113,0.076393,0.020888,0.01632,5
1033.3,515.75,1593.1,134.74,2067.9,1982.3,793.45,0.34247,0.38007,0.22295,0.5197,0.3154,0.33692,0.21629,0.10662,0.17036,0.56396,0.59557,0.27837,0.16055,0.13519,0.077945,0.087557,0.098585,0.084575,0.055227,0.08464,0.2249,0.30963,0.39429,0.2721,0.14714,0.077155,0
1544.8,768.4,3096.6,2321.2,3866.2,81.599,1426.6,0.029858,0.031209,0.098189,0.1606,0.03213,0.026036,0.47794,0.10003,0.025499,0.3344,0.034356,0.036477,0.018809,0.026206,0.057886,0.54725,0.39156,0.10043,0.033153,0.021243,0.02234,0.053626,0.020471,0.019639,0.055713,0.04166,1
1417.3,702.31,2122.0,2836.1,3532.6,4256.1,1327.2,0.021355,0.086867,0.026434,0.27279,0.015944,0.10383,0.28188,0.019884,0.19921,0.023835,0.029508,0.014997,0.020266,0.1055,0.66579,0.27993,0.065042,0.018504,0.024976,0.037177,0.012858,0.013842,0.099967,0.026755,0.012642,0.02431,4
739.6,1499.0,2238.2,177.18,3002.6,49.548,1179.5,0.16359,0.17874,0.25981,0.67583,0.14169,0.12203,0.793,0.18514,0.083777,0.21786,0.10846,0.040173,0.028642,0.077341,0.3964,0.83686,0.52768,0.15974,0.065647,0.05325,0.045766,0.037485,0.032314,0.085666,0.079489,0.031534,1
1850.4,944.88,127.25,2756.8,3709.6,385.48,1408.5,0.14296,0.12829,0.13516,0.1616,0.14454,0.13678,0.044425,0.086361,0.2706,0.12292,0.040829,0.059627,0.092062,0.039532,0.030287,0.026225,0.03906,0.072634,0.14646,0.29252,0.16796,0.11766,0.05743,0.033011,0.02863,0.021032,3
894.35,1772.9,2667.5,3539.2,4433.1,693.03,1486.6,0.017468,0.015651,0.061107,0.02661,0.27912,0.025865,0.020101,0.067096,0.36387,0.025992,0.017144,0.136,0.020707,0.036335,0.018017,0.01716,0.021373,0.065544,0.46888,0.36359,0.11823,0.02497,0.019123,0.025495,0.018637,0.050378,5
1025.1,2033.9,3063.3,83.088,4085.5,5087.7,1883.5,0.0382,0.033549,0.026395,0.25629,0.026175,0.25644,0.026022,0.026788,0.023998,0.36515,0.12443,0.026223,0.02525,0.13538,0.025115,0.061846,0.021653,0.022571,0.019179,0.020639,0.053165,0.42435,0.33363,0.1251,0.026428,0.025126,5
1850.4,944.88,127.25,2756.8,3709.6,385.48,1408.5,0.14296,0.12829,0.13516,0.1616,0.14454,0.13678,0.044425,0.086361,0.2706,0.12292,0.040829,0.059627,0.092062,0.039532,0.030287,0.026225,0.03906,0.072634,0.14646,0.29252,0.16796,0.11766,0.05743,0.033011,0.02863,0.021032,3
1000.0,2013.8,3011.5,91.866,4001.5,5003.0,1847.4,0.065789,0.051431,0.044521,0.35891,0.063674,0.35287,0.067823,0.028418,0.054477,0.54916,0.14413,0.042217,0.043073,0.22888,0.028017,0.038551,0.02044,0.020253,0.026869,0.054891,0.22715,0.56765,0.33712,0.14199,0.059768,0.039581,3
649.15,1296.7,1944.0,86.982,2591.0,3268.4,1196.7,0.060372,0.39349,0.20272,0.075226,0.049189,0.44555,0.063537,0.068642,0.039451,0.025593,0.021644,0.04107,0.25804,0.45401,0.24208,0.061348,0.034125,0.021423,0.018122,0.020543,0.061913,0.023542,0.018587,0.016774,0.013508,0.015394,4
653.37,1326.5,46.019,1986.7,2663.4,215.1,1035.5,0.070209,0.27004,0.14329,0.098309,0.054836,0.35384,0.089102,0.05089,0.065127,0.051916,0.032078,0.038537,0.14696,0.37437,0.2198,0.079115,0.027666,0.024954,0.037414,0.021974,0.036629,0.044717,0.022669,0.024988,0.022534,0.021356,4
1082.5,551.65,1631.2,2194.2,2714.1,169.87,974.11,0.14375,0.15767,0.18698,0.15664,0.48793,0.085804,0.36507,0.11131,0.032149,0.14995,0.93362,0.478,0.15816,0.073012,0.083883,0.04126,0.16509,0.10165,0.046877,0.039427,0.022146,0.050073,0.26133,0.5046,0.3621,0.12607,0
509.2,1000.4,1515.6,2061.3,171.11,2536.9,910.56,0.27521,0.2664,0.072515,0.34047,0.13881,0.13021,0.089546,0.042098,0.079882,0.38476,0.34201,0.12565,0.038988,0.053068,0.038801,0.065268,0.037556,0.029063,0.02075,0.032162,0.061181,0.13383,0.12207,0.0572,0.028093,0.022895,0
637.41,1251.9,1894.7,2498.8,3144.1,3783.6,1176.6,0.083839,0.70305,0.64113,0.11704,0.29829,0.73022,0.12733,0.49935,0.13458,0.050914,0.10623,0.33206,1.2413,0.7279,0.31034,0.093477,0.06976,0.089231,0.054165,0.13817,0.10733,0.041663,0.064292,0.053592,0.066929,0.10348,2
1933.8,984.38,173.55,93.677,2888.4,3878.0,1524.6,0.22132,0.14576,0.14909,0.23741,0.10652,0.17433,0.044112,0.039751,0.16113,0.15994,0.041213,0.026555,0.13419,0.045061,0.053996,0.024409,0.02398,0.023622,0.058668,0.15638,0.31902,0.15337,0.08811,0.034686,0.021748,0.017268,3
1290.1,1931.3,652.21,2574.0,43.975,3187.6,1182.6,0.035423,0.10731,0.058179,0.04188,0.045594,0.25704,0.042501,0.20765,0.075999,0.028929,0.02576,0.042406,0.3356,0.25592,0.078937,0.043245,0.034152,0.046024,0.022461,0.050727,0.11458,0.02196,0.034677,0.023541,0.021076,0.01992,2
781.85,1588.2,2368.3,43.925,168.26,3146.1,1244.6,0.18484,0.14769,0.58684,0.35651,0.25698,0.066583,0.39598,0.53511,0.063739,0.12413,0.18704,0.14465,0.031976,0.035286,0.077875,0.40559,0.91901,0.52202,0.21295,0.048681,0.042981,0.028283,0.049942,0.020854,0.05093,0.139,1
1811.8,902.41,204.86,302.46,386.22,3625.5,1327.0,0.11965,0.10116,0.097918,0.089461,0.083953,0.064755,0.041617,0.05576,0.20915,0.044449,0.0365,0.13125,0.040558,0.047295,0.024201,0.023961,0.022768,0.02982,0.1583,0.19304,0.051238,0.027297,0.026082,0.023807,0.023376,0.027031,5
640.64,1256.7,84.884,1896.6,2540.2,384.72,946.52,0.246,0.53474,0.42649,0.1642,0.21265,0.57213,0.12652,0.32246,0.16405,0.075875,0.086173,0.16646,0.69395,0.54665,0.25247,0.091929,0.061752,0.094919,0.052685,0.091258,0.097583,0.051966,0.050791,0.044477,0.039664,0.062474,2
864.73,437.87,1303.1,1733.1,2623.5,2157.6,814.5,0.17517,0.15781,0.17362,0.15851,0.20629,0.10695,0.033671,0.21078,0.33011,0.15678,0.072811,0.05963,0.051202,0.10204,0.040089,0.025715,0.030577,0.11349,0.24159,0.13631,0.044438,0.025413,0.028957,0.036083,0.021591,0.021717,0
1075.6,2141.7,89.858,3191.8,5332.5,4261.2,1968.3,0.083009,0.066365,0.055193,0.11829,0.099359,0.10713,0.26628,0.025055,0.027707,0.12448,0.52467,0.091936,0.022898,0.042653,0.28314,0.034781,0.063679,0.021972,0.021432,0.023321,0.041068,0.12498,0.58178,0.52491,0.26868,0.085669,3
1026.6,513.45,1544.7,87.453,2028.1,2578.7,936.87,0.42195,0.35136,0.19947,0.6786,0.24167,0.50896,0.27821,0.098945,0.17629,0.8417,0.49761,0.18551,0.14057,0.15538,0.080295,0.19668,0.11047,0.094439,0.072866,0.086535,0.26452,0.58116,0.49533,0.26739,0.11043,0.054604,0
1768.5,894.89,2662.4,53.312,3536.9,4432.0,1641.8,0.062908,0.054111,0.074033,0.02872,0.13417,0.029997,0.022994,0.071012,0.15916,0.023961,0.018329,0.21747,0.020209,0.0418,0.020242,0.018339,0.020209,0.069117,0.41425,0.15123,0.061089,0.020144,0.018143,0.037072,0.017168,0.045301,5
126.69,345.75,1039.3,2275.8,2112.5,734.3,901.25,0.61576,0.45148,0.37379,0.33653,0.30091,0.23621,0.29764,0.16783,0.13115,0.17763,0.21084,0.14683,0.045365,0.055968,0.071883,0.089181,0.035095,0.043913,0.033995,0.042372,0.064762,0.1254,0.20205,0.18723,0.20787,0.12701,5
1024.5,2033.2,3057.3,211.21,4055.1,516.38,1516.1,0.056498,0.046555,0.040713,0.30773,0.040048,0.29673,0.048828,0.024342,0.031333,0.41098,0.139,0.025594,0.024545,0.14144,0.031538,0.035671,0.019704,0.016568,0.01852,0.027814,0.097834,0.43426,0.38157,0.13099,0.036399,0.01823,3
550.81,1074.5,1631.7,2154.6,3228.9,44.332,1150.6,0.13322,0.14424,0.17204,0.13981,0.40185,0.060631,0.15471,0.066083,0.028821,0.13879,0.68701,0.40285,0.16263,0.052412,0.064048,0.029912,0.097301,0.060512,0.030601,0.027542,0.021492,0.036868,0.21432,0.30216,0.1505,0.044341,0
1727.6,870.19,2587.6,3449.1,4344.7,49.127,1607.7,0.031291,0.028345,0.16753,0.042703,0.40362,0.037883,0.028675,0.33995,0.35193,0.032859,0.037786,0.29788,0.055016,0.02538,0.023027,0.027972,0.049254,0.39108,0.69194,0.34902,0.11369,0.034303,0.028795,0.017344,0.060291,0.018302,5
1024.6,2029.0,96.556,3051.9,558.55,4055.6,1533.1,0.30418,0.24833,0.1732,0.37371,0.14465,0.34177,0.13089,0.057495,0.087113,0.50202,0.15397,0.053726,0.055702,0.24977,0.053034,0.058777,0.026743,0.024982,0.031582,0.070517,0.18629,0.54075,0.37541,0.13197,0.082941,0.026015,3
991.05,1982.7,131.77,301.71,2971.4,645.81,1099.5,0.085034,0.080179,0.071361,0.25868,0.047522,0.25338,0.044504,0.042793,0.056394,0.27256,0.044364,0.025889,0.037285,0.061384,0.029087,0.026346,0.022163,0.020305,0.021658,0.037935,0.16898,0.26414,0.13245,0.033566,0.020242,0.018045,3
1474.3,737.99,2234.0,2970.5,3702.0,171.07,1343.4,0.016214,0.022387,0.033432,0.13316,0.015263,0.022456,0.27285,0.028874,0.022635,0.15169,0.032149,0.012102,0.011269,0.020108,0.13708,0.29345,0.10806,0.026571,0.01231,0.013858,0.025775,0.018489,0.011301,0.029403,0.020704,0.010322,1
1127.4,561.54,1710.3,2274.6,2836.5,3400.1,1062.9,0.032528,0.050903,0.15633,0.03193,0.51992,0.035691,0.34913,0.090671,0.014467,0.031093,0.29735,0.5412,0.17011,0.03265,0.021337,0.042169,0.014928,0.087135,0.028563,0.022283,0.013176,0.013175,0.026543,0.15948,0.38695,0.27867,0
641.43,1292.6,1903.3,87.156,2579.4,3189.0,1172.7,0.071475,0.50241,0.41157,0.10767,0.13996,0.58321,0.10623,0.14018,0.078636,0.040253,0.040884,0.13513,0.58269,0.59089,0.2752,0.095384,0.06374,0.05747,0.031673,0.051454,0.087174,0.031963,0.043769,0.023781,0.023654,0.023876,2
684.51,1331.8,86.093,2622.5,2026.8,3275.5,1200.6,0.10526,0.38146,0.20983,0.25323,0.072468,0.65641,0.24803,0.1138,0.22869,0.071332,0.028524,0.07001,0.29131,0.7121,0.47298,0.23952,0.11532,0.07052,0.05386,0.031124,0.049942,0.062233,0.039869,0.02693,0.022524,0.029106,2
92.311,995.44,2024.3,3054.9,343.49,515.8,1147.7,0.4931,0.38912,0.24676,0.24828,0.10287,0.16717,0.086099,0.05797,0.082545,0.25173,0.1069,0.046601,0.055907,0.13467,0.058881,0.056996,0.024775,0.02955,0.041043,0.073081,0.17115,0.28483,0.19136,0.091788,0.050127,0.035278,3
1769.0,895.07,2667.3,3565.8,5297.8,4392.9,1645.6,0.026516,0.019874,0.14317,0.056071,0.39669,0.049171,0.0204,0.20701,0.51252,0.048374,0.023662,0.67655,0.037168,0.081808,0.015494,0.020491,0.043457,0.2204,1.234,0.51206,0.18829,0.047248,0.022468,0.026808,0.021919,0.073586,5
897.34,434.99,1762.6,1333.5,2634.3,85.257,928.49,0.27345,0.21269,0.31463,0.2593,0.55539,0.19419,0.076429,0.35422,0.91012,0.24458,0.16027,0.20386,0.06974,0.14233,0.076348,0.043069,0.06238,0.21818,0.72176,0.65247,0.29606,0.088411,0.046451,0.06358,0.031736,0.036503,0
951.74,128.65,1936.5,2842.5,2542.3,3916.8,1361.3,0.3089,0.22641,0.25276,0.45861,0.20865,0.3633,0.060885,0.14714,0.31936,0.38914,0.10434,0.08482,0.14256,0.07876,0.036088,0.029584,0.06134,0.14884,0.20608,0.32782,0.5284,0.38372,0.17629,0.075229,0.036587,0.025461,5
720.64,1422.5,82.01,172.33,2116.0,2843.7,1106.5,0.06515,0.098205,0.057266,0.23827,0.027504,0.097326,0.23421,0.024667,0.09427,0.031367,0.021828,0.014457,0.02433,0.089411,0.37179,0.22804,0.076976,0.019629,0.02198,0.02202,0.015681,0.016468,0.038217,0.018559,0.013075,0.019677,1
986.6,904.91,1720.6,92.218,213.75,1892.2,743.07,0.36302,0.27009,0.32477,0.43847,0.40777,0.35061,0.21553,0.37434,0.40342,0.3212,0.29206,0.23571,0.1897,0.13436,0.12791,0.070836,0.13463,0.36988,0.43417,0.39572,0.34488,0.2907,0.22525,0.2131,0.14825,0.10715,3
907.95,1082.8,1817.6,295.15,173.8,90.363,670.31,0.16069,0.15077,0.14994,0.17281,0.18261,0.17033,0.1731,0.10458,0.27238,0.12276,0.19134,0.0962,0.052842,0.064456,0.092656,0.067977,0.066626,0.06005,0.12806,0.23822,0.12392,0.090769,0.08405,0.16671,0.12495,0.051073,3
1027.6,2056.4,3087.1,4097.9,5129.0,6156.7,1917.6,0.015984,0.011846,0.014084,0.23871,0.01625,0.23588,0.03095,0.011886,0.01919,0.48741,0.14368,0.014118,0.011538,0.26229,0.022801,0.084649,0.010961,0.011003,0.010782,0.017784,0.051601,0.5753,0.41537,0.14226,0.02852,0.011843,3
129.13,776.0,1372.4,1034.1,1591.5,2151.1,698.29,1.3959,1.1709,1.23,0.92526,0.67529,0.58772,0.42649,0.45755,0.48446,0.2678,0.2941,0.25496,0.31945,0.49114,0.45995,0.34333,0.35519,0.33415,0.23607,0.19001,0.16355,0.11182,0.12012,0.11143,0.086265,0.082961,2
2151.8,1074.0,80.263,3236.7,4347.7,6499.0,2324.1,0.10992,0.071667,0.041067,0.1064,0.10494,0.10472,0.2088,0.032268,0.0279,0.11435,0.69424,0.097151,0.032561,0.046239,0.59721,0.036512,0.077773,0.025425,0.024834,0.025159,0.032265,0.11233,0.68202,0.72407,0.22042,0.093679,5
606.22,1246.5,86.74,1888.1,2500.3,345.7,942.54,0.16237,0.34417,0.36671,0.13621,0.29506,0.29672,0.11312,0.20003,0.10069,0.063484,0.10726,0.29391,0.53382,0.28182,0.11601,0.072506,0.04968,0.044542,0.044758,0.068792,0.041104,0.026937,0.024835,0.024851,0.03928,0.098483,2
2247.7,1122.9,47.433,214.28,3368.1,4484.1,1779.3,0.12744,0.097323,0.071641,0.075199,0.27621,0.062441,0.29925,0.057142,0.035958,0.039941,0.31683,0.26522,0.050521,0.02606,0.043965,0.26742,0.032432,0.056393,0.023942,0.02705,0.033019,0.034638,0.1037,0.34052,0.55436,0.26483,5
1859.4,913.23,2798.8,3738.3,84.021,4658.1,1726.0,0.04687,0.038846,0.032381,0.088321,0.07884,0.088106,0.023345,0.025579,0.32756,0.08242,0.025618,0.037037,0.17951,0.026882,0.026658,0.020737,0.022092,0.021356,0.082253,0.37831,0.17211,0.07951,0.03566,0.021439,0.023636,0.026159,5
1423.4,726.9,2149.9,2840.1,3616.7,81.085,1323.1,0.032445,0.1514,0.1012,0.47948,0.03252,0.21595,0.64538,0.065294,0.36482,0.19391,0.069329,0.019569,0.047891,0.2278,1.1026,0.65718,0.25417,0.063931,0.038603,0.080676,0.046293,0.026797,0.093817,0.068499,0.038912,0.035383,1
911.37,1843.2,2754.5,3661.4,170.02,90.299,1444.6,0.057152,0.047055,0.066404,0.11658,0.16045,0.10718,0.028978,0.051837,0.60851,0.10024,0.029094,0.09171,0.13412,0.053211,0.021425,0.020186,0.024027,0.045022,0.23254,0.63643,0.2756,0.096335,0.041084,0.026003,0.028165,0.02102,5
777.06,1555.9,2366.7,88.772,3141.3,3918.8,1446.4,0.23354,0.24744,0.97509,0.81994,0.43937,0.15143,0.99055,0.93529,0.12342,0.27123,0.2568,0.15575,0.056455,0.1036,0.27073,1.0453,1.5459,0.9028,0.36209,0.09598,0.1033,0.067031,0.084949,0.060321,0.10122,0.13217,1
654.48,1323.2,1978.4,2627.3,3278.0,3928.0,1223.1,0.031774,0.44552,0.18345,0.12616,0.045236,0.75442,0.12546,0.09653,0.1213,0.055161,0.018722,0.042437,0.28532,0.79728,0.37963,0.1226,0.047288,0.031064,0.046991,0.018596,0.078998,0.051982,0.016814,0.036646,0.024,0.018625,4
129.87,300.33,431.26,723.6,900.19,1420.8,469.62,0.39691,0.3685,0.23514,0.24763,0.14454,0.17691,0.15985,0.089172,0.099992,0.089401,0.061567,0.038356,0.035466,0.042612,0.086411,0.077353,0.038659,0.031104,0.030425,0.031728,0.027846,0.029151,0.025432,0.02403,0.023803,0.020146,1
1038.9,2109.9,2027.1,88.804,3182.3,3009.8,1179.6,0.17512,0.13331,0.092605,0.26438,0.085855,0.24405,0.15044,0.042257,0.042983,0.32549,0.34121,0.048763,0.024551,0.12926,0.11988,0.035388,0.043947,0.022195,0.024463,0.025622,0.090966,0.32736,0.55141,0.3356,0.12715,0.044189,5
854.63,1676.2,2499.0,51.798,3320.3,4173.5,1541.0,0.04625,0.040852,0.36397,0.074778,0.36094,0.051829,0.053814,0.67223,0.22496,0.054726,0.26199,0.078974,0.083048,0.023529,0.027157,0.051088,0.2281,0.74338,0.4129,0.22035,0.10244,0.048427,0.026233,0.039806,0.025265,0.022618,5
652.11,1324.7,1980.7,2620.4,88.262,3274.0,1202.4,0.063648,0.8508,0.42479,0.26028,0.082245,1.223,0.25288,0.18378,0.18658,0.070809,0.022538,0.076115,0.61121,1.2872,0.6994,0.24718,0.081138,0.050856,0.044797,0.029561,0.079539,0.069465,0.032106,0.034998,0.01831,0.020107,4
1336.3,691.68,43.561,2663.8,166.6,4002.2,1561.6,0.14161,0.32908,0.25546,0.36452,0.14744,0.82914,0.34579,0.22285,0.45218,0.072911,0.066452,0.11625,0.28365,0.89371,0.5691,0.3352,0.19566,0.13363,0.11768,0.039156,0.054988,0.057201,0.034862,0.053076,0.035424,0.037483,2
2030.8,998.8,3059.3,89.169,4092.2,5088.9,1887.6,0.05963,0.048402,0.037251,0.27434,0.043849,0.26946,0.03879,0.024277,0.082621,0.55358,0.12582,0.025973,0.065664,0.30429,0.035593,0.05131,0.018685,0.01912,0.030525,0.083816,0.23116,0.60612,0.32733,0.12053,0.034496,0.024443,3
1503.8,742.94,2980.9,2243.1,3742.8,82.135,1377.0,0.031555,0.033401,0.082027,0.25996,0.024147,0.027708,0.74132,0.077313,0.030286,0.49537,0.044929,0.012807,0.015488,0.02552,0.17759,0.79052,0.29251,0.077864,0.020492,0.036418,0.027917,0.029895,0.01439,0.042523,0.052761,0.017323,1
908.75,1847.7,122.93,2755.9,3699.3,4645.2,1705.3,0.12869,0.10827,0.10979,0.12915,0.18128,0.104,0.03684,0.072627,0.52594,0.096894,0.029922,0.085793,0.16197,0.048816,0.023278,0.022353,0.032717,0.069387,0.2539,0.56441,0.25734,0.093107,0.037034,0.026594,0.029913,0.028904,5
1001.5,2018.3,122.8,3018.3,4043.9,4176.8,1644.9,0.11173,0.10047,0.063969,0.28431,0.055918,0.27292,0.054964,0.024274,0.052783,0.35802,0.1038,0.032288,0.03105,0.11496,0.033248,0.039488,0.019682,0.021078,0.030171,0.049172,0.13746,0.38382,0.2666,0.10369,0.051518,0.030931,5
863.08,1726.8,2591.8,3452.5,4339.5,124.04,1588.6,0.031697,0.030501,0.2143,0.029951,0.36719,0.022997,0.020137,0.32649,0.24211,0.022018,0.035718,0.19218,0.052039,0.02021,0.011822,0.01843,0.040692,0.38307,0.55802,0.23962,0.057792,0.021208,0.022215,0.016617,0.063311,0.016391,5
480.71,958.88,1499.8,1939.5,2449.1,46.981,905.18,0.25992,0.25407,0.057728,0.45746,0.11184,0.23097,0.081341,0.033238,0.23218,0.54155,0.23601,0.1099,0.066739,0.039908,0.060558,0.077102,0.039977,0.023664,0.020693,0.098225,0.28927,0.25048,0.084444,0.033446,0.017517,0.022945,0
594.88,1165.2,1766.4,2330.8,46.54,2922.5,1079.2,0.08591,0.43112,0.8444,0.073946,1.038,0.39292,0.21278,0.13011,0.064675,0.051645,0.33337,1.2677,0.91468,0.38316,0.08329,0.089367,0.057307,0.048882,0.18192,0.051502,0.060008,0.033843,0.039417,0.064603,0.25689,0.40511,2
1067.3,2105.3,259.66,89.103,3143.1,4217.7,1647.9,0.18896,0.14373,0.12613,0.21876,0.15497,0.20541,0.20465,0.095199,0.086112,0.20924,0.35002,0.095815,0.052886,0.077281,0.10781,0.053136,0.043265,0.031217,0.033095,0.044065,0.061601,0.19092,0.47277,0.33559,0.1576,0.078516,5
1850.9,911.49,2764.5,3703.4,79.449,4644.8,1717.0,0.051903,0.033462,0.047544,0.10822,0.13074,0.10157,0.0191,0.048457,0.85364,0.10397,0.022189,0.11339,0.3601,0.049058,0.020462,0.016162,0.024284,0.047364,0.24086,0.95187,0.27853,0.10188,0.030453,0.016807,0.029014,0.01773,3
986.51,1981.9,3008.7,4007.6,127.92,3876.3,1577.4,0.0273,0.025796,0.030017,0.89027,0.041589,0.88623,0.028067,0.024237,0.2035,1.1097,0.079281,0.016724,0.12623,0.23686,0.046852,0.044118,0.013545,0.018701,0.033819,0.20496,0.88651,1.1423,0.45113,0.076393,0.020888,0.01632,5
678.58,1345.5,2020.3,2704.6,3365.2,4042.0,1259.4,0.014621,0.46256,0.11703,0.1837,0.025666,0.84661,0.1846,0.026981,0.35473,0.19222,0.013626,0.024504,0.12716,1.0844,0.59676,0.1833,0.027952,0.052765,0.065387,0.013716,0.031396,0.19829,0.020865,0.032324,0.018324,0.014967,4
952.57,1891.1,1980.3,91.913,299.39,2761.0,1051.0,0.11324,0.097522,0.10223,0.49092,0.18463,0.48188,0.14076,0.08305,0.39351,0.51474,0.23446,0.075839,0.10956,0.091395,0.06541,0.039171,0.036663,0.056912,0.14865,0.42579,0.55388,0.51545,0.40328,0.22377,0.11499,0.053075,5
911.37,1843.2,2754.5,3661.4,170.02,90.299,1444.6,0.057152,0.047055,0.066404,0.11658,0.16045,0.10718,0.028978,0.051837,0.60851,0.10024,0.029094,0.09171,0.13412,0.053211,0.021425,0.020186,0.024027,0.045022,0.23254,0.63643,0.2756,0.096335,0.041084,0.026003,0.028165,0.02102,5
725.34,1430.0,2157.0,44.955,2881.8,170.62,1132.2,0.057394,0.17874,0.094836,0.57421,0.044768,0.18003,0.63015,0.055083,0.15266,0.089,0.094842,0.022692,0.040039,0.18657,0.97617,0.63332,0.27791,0.05164,0.045834,0.031945,0.036427,0.019071,0.075593,0.088545,0.021766,0.026233,4
698.52,1416.2,2116.5,39.267,2834.3,3539.5,1315.5,0.067381,0.24361,0.097682,0.48551,0.045035,0.26358,0.48913,0.048293,0.24677,0.045624,0.040596,0.025881,0.055713,0.2646,0.96067,0.48922,0.17811,0.044147,0.043458,0.058249,0.019652,0.02315,0.15632,0.034858,0.019598,0.034932,4
